Date,Price,Open,High,Low,Vol.,Change %
03/08/2022,"1,173.846","1,173.846","1,173.846","1,173.846",,+2.49%
03/07/2022,"1,145.346","1,145.346","1,145.346","1,145.346",,+2.20%
03/04/2022,"1,120.732","1,120.732","1,120.732","1,120.732",,+8.80%
03/03/2022,"1,030.103","1,030.103","1,030.103","1,030.103",,-0.73%
03/02/2022,"1,037.705","1,037.705","1,037.705","1,037.705",,+7.76%
03/01/2022,963.009,963.009,963.009,963.009,,+4.29%
02/28/2022,923.416,923.416,923.416,923.416,,+4.17%
02/25/2022,886.423,886.423,886.423,886.423,,-0.09%
02/24/2022,887.255,887.255,887.255,887.255,,+0.32%
02/23/2022,884.391,884.391,884.391,884.391,,+0.11%
02/22/2022,883.410,883.410,883.410,883.410,,+0.51%
02/18/2022,878.915,878.915,878.915,878.915,,-0.10%
02/17/2022,879.836,879.836,879.836,879.836,,-0.51%
02/16/2022,884.382,884.382,884.382,884.382,,+0.39%
02/15/2022,880.958,880.958,880.958,880.958,,-2.32%
02/14/2022,901.881,901.881,901.881,901.881,,+0.77%
02/11/2022,894.996,894.996,894.996,894.996,,+1.84%
02/10/2022,878.863,878.863,878.863,878.863,,+0.38%
02/09/2022,875.577,875.577,875.577,875.577,,+1.17%
02/08/2022,865.491,865.491,865.491,865.491,,-1.33%
02/07/2022,877.116,877.116,877.116,877.116,,+0.26%
02/04/2022,874.853,874.853,874.853,874.853,,+1.56%
02/03/2022,861.434,861.434,861.434,861.434,,+1.42%
02/02/2022,849.353,849.353,849.353,849.353,,+1.02%
02/01/2022,840.779,840.779,840.779,840.779,,+0.28%
01/31/2022,838.390,838.390,838.390,838.390,,+6.13%
01/28/2022,789.943,789.943,789.943,789.943,,+0.03%
01/27/2022,789.730,789.730,789.730,789.730,,-0.10%
01/26/2022,790.533,790.533,790.533,790.533,,+0.37%
01/25/2022,787.641,787.641,787.641,787.641,,+0.55%
01/24/2022,783.311,783.311,783.311,783.311,,-0.48%
01/21/2022,787.067,787.067,787.067,787.067,,-0.25%
01/20/2022,789.010,789.010,789.010,789.010,,+0.20%
01/19/2022,787.437,787.437,787.437,787.437,,+0.38%
01/18/2022,784.470,784.470,784.470,784.470,,+0.21%
01/14/2022,782.810,782.810,782.810,782.810,,+1.20%
01/13/2022,773.531,773.531,773.531,773.531,,-0.13%
01/12/2022,774.518,774.518,774.518,774.518,,+1.10%
01/11/2022,766.121,766.121,766.121,766.121,,+2.29%
01/10/2022,749.001,749.001,749.001,749.001,,-0.32%
01/07/2022,751.420,751.420,751.420,751.420,,-0.38%
01/06/2022,754.257,754.257,754.257,754.257,,+0.94%
01/05/2022,747.253,747.253,747.253,747.253,,+0.04%
01/04/2022,746.927,746.927,746.927,746.927,,+1.42%
01/03/2022,736.449,736.449,736.449,736.449,,+0.83%
12/31/2021,730.418,730.418,730.418,730.418,,+5.75%
12/30/2021,690.676,690.676,690.676,690.676,,+0.04%
12/29/2021,690.429,690.429,690.429,690.429,,+0.16%
12/28/2021,689.343,689.343,689.343,689.343,,+0.10%
12/27/2021,688.683,688.683,688.683,688.683,,+0.17%
12/23/2021,687.515,687.515,687.515,687.515,,+0.34%
12/22/2021,685.171,685.171,685.171,685.171,,+0.34%
12/21/2021,682.883,682.883,682.883,682.883,,+0.88%
12/20/2021,676.910,676.910,676.910,676.910,,-0.82%
12/17/2021,682.528,682.528,682.528,682.528,,-0.96%
12/16/2021,689.169,689.169,689.169,689.169,,+0.90%
12/15/2021,683.042,683.042,683.042,683.042,,-0.24%
12/14/2021,684.701,684.701,684.701,684.701,,-0.11%
12/13/2021,685.446,685.446,685.446,685.446,,-0.19%
12/10/2021,686.718,686.718,686.718,686.718,,+0.42%
12/09/2021,683.836,683.836,683.836,683.836,,-1.26%
12/08/2021,692.594,692.594,692.594,692.594,,+0.97%
12/07/2021,685.967,685.967,685.967,685.967,,+2.94%
12/06/2021,666.388,666.388,666.388,666.388,,+4.32%
12/03/2021,638.797,638.797,638.797,638.797,,+0.61%
12/02/2021,634.897,634.897,634.897,634.897,,+0.87%
12/01/2021,629.415,629.415,629.415,629.415,,+0.06%
11/30/2021,629.063,629.063,629.063,629.063,,-19.13%
11/29/2021,777.822,777.822,777.822,777.822,,+0.25%
11/26/2021,775.874,775.874,775.874,775.874,,-1.66%
11/24/2021,788.955,788.955,788.955,788.955,,-0.24%
11/23/2021,790.847,790.847,790.847,790.847,,+0.61%
11/22/2021,786.055,786.055,786.055,786.055,,+0.26%
11/19/2021,784.031,784.031,784.031,784.031,,-1.71%
11/18/2021,797.696,797.696,797.696,797.696,,-0.13%
11/17/2021,798.773,798.773,798.773,798.773,,-1.30%
11/16/2021,809.272,809.272,809.272,809.272,,+0.66%
11/15/2021,803.940,803.940,803.940,803.940,,+0.19%
11/12/2021,802.385,802.385,802.385,802.385,,+0.22%
11/11/2021,800.633,800.633,800.633,800.633,,+0.66%
11/10/2021,795.422,795.422,795.422,795.422,,-1.92%
11/09/2021,811.013,811.013,811.013,811.013,,+1.54%
11/08/2021,798.676,798.676,798.676,798.676,,+0.83%
11/05/2021,792.105,792.105,792.105,792.105,,+1.21%
11/04/2021,782.597,782.597,782.597,782.597,,-1.28%
11/03/2021,792.745,792.745,792.745,792.745,,-3.41%
11/02/2021,820.705,820.705,820.705,820.705,,+0.83%
11/01/2021,813.989,813.989,813.989,813.989,,+2.57%
10/29/2021,793.630,793.630,793.630,793.630,,-0.60%
10/28/2021,798.388,798.388,798.388,798.388,,-0.10%
10/27/2021,799.154,799.154,799.154,799.154,,-0.34%
10/26/2021,801.849,801.849,801.849,801.849,,+0.07%
10/25/2021,801.308,801.308,801.308,801.308,,+0.35%
10/22/2021,798.497,798.497,798.497,798.497,,+0.41%
10/21/2021,795.231,795.231,795.231,795.231,,-0.55%
10/20/2021,799.607,799.607,799.607,799.607,,+0.32%
10/19/2021,797.065,797.065,797.065,797.065,,-0.35%
10/18/2021,799.850,799.850,799.850,799.850,,+0.01%
10/15/2021,799.788,799.788,799.788,799.788,,+0.46%
10/14/2021,796.137,796.137,796.137,796.137,,+1.35%
10/13/2021,785.549,785.549,785.549,785.549,,+0.75%
10/12/2021,779.709,779.709,779.709,779.709,,-0.14%
10/11/2021,780.799,780.799,780.799,780.799,,+0.57%
10/08/2021,776.384,776.384,776.384,776.384,,+1.38%
10/07/2021,765.820,765.820,765.820,765.820,,+0.85%
10/06/2021,759.384,759.384,759.384,759.384,,-0.61%
10/05/2021,764.021,764.021,764.021,764.021,,+1.72%
10/04/2021,751.073,751.073,751.073,751.073,,+1.04%
10/01/2021,743.320,743.320,743.320,743.320,,+2.76%
09/30/2021,723.345,723.345,723.345,723.345,,+0.66%
09/29/2021,718.604,718.604,718.604,718.604,,+0.10%
09/28/2021,717.918,717.918,717.918,717.918,,-0.18%
09/27/2021,719.186,719.186,719.186,719.186,,+0.25%
09/24/2021,717.383,717.383,717.383,717.383,,-0.03%
09/23/2021,717.566,717.566,717.566,717.566,,+0.41%
09/22/2021,714.658,714.658,714.658,714.658,,+0.49%
09/21/2021,711.153,711.153,711.153,711.153,,+0.10%
09/20/2021,710.450,710.450,710.450,710.450,,-1.10%
09/17/2021,718.367,718.367,718.367,718.367,,-0.07%
09/16/2021,718.839,718.839,718.839,718.839,,-0.41%
09/15/2021,721.768,721.768,721.768,721.768,,+0.75%
09/14/2021,716.422,716.422,716.422,716.422,,+0.06%
09/13/2021,715.961,715.961,715.961,715.961,,+0.16%
09/10/2021,714.832,714.832,714.832,714.832,,+1.75%
09/09/2021,702.551,702.551,702.551,702.551,,-1.02%
