Date,Price,Open,High,Low,Vol.,Change %
05/07/2023,669.00,675.50,704.75,662.25,152.77K,-0.26%
04/30/2023,670.75,691.25,699.75,631.00,154.39K,-3.49%
04/23/2023,695.00,723.50,742.00,676.00,152.51K,-4.01%
04/16/2023,724.00,767.75,773.50,714.50,265.38K,-6.22%
04/09/2023,772.00,779.50,790.00,762.50,184.65K,-1.06%
04/02/2023,780.25,790.50,817.75,766.75,134.15K,2.29%
03/26/2023,762.75,770.00,792.00,744.50,179.74K,-0.33%
03/19/2023,765.25,772.00,797.25,740.25,280.66K,-1.32%
03/12/2023,775.50,814.50,823.75,721.75,470.13K,-3.48%
03/05/2023,803.50,857.25,858.25,773.25,103.53K,-6.13%
02/26/2023,856.00,812.75,865.00,810.50,155.57K,5.91%
02/19/2023,808.25,791.75,820.25,779.25,164.72K,2.15%
02/12/2023,791.25,837.50,864.00,772.50,329.17K,-2.79%
02/05/2023,814.00,805.75,868.00,764.75,95.94K,-0.61%
01/29/2023,819.00,935.00,942.50,800.00,172.83K,-12.69%
01/22/2023,938.00,987.50,"1,024.50",924.50,179.84K,-4.63%
01/15/2023,983.50,938.75,992.50,920.00,301.97K,5.44%
01/08/2023,932.75,878.50,940.00,875.75,126.18K,5.96%
01/01/2023,880.25,945.00,950.00,835.50,111.01K,-4.42%
12/25/2022,921.00,928.00,975.00,912.75,82.72K,1.49%
12/18/2022,907.50,891.75,934.75,855.75,159.46K,2.43%
12/11/2022,886.00,823.25,940.50,794.00,237.66K,7.95%
12/04/2022,820.75,904.00,930.00,792.25,100.85K,-10.03%
11/27/2022,912.25,901.75,964.00,870.00,106.89K,-0.44%
11/20/2022,916.25,950.25,961.25,894.25,151.42K,-3.14%
11/13/2022,946.00,990.00,"1,018.75",926.00,246.45K,-4.23%
11/06/2022,987.75,"1,109.00","1,109.00",971.75,129.66K,-11.41%
10/30/2022,"1,115.00","1,130.50","1,131.25","1,025.00",130.78K,-1.63%
10/23/2022,"1,133.50","1,072.75","1,140.00","1,055.50",106.18K,7.90%
10/16/2022,"1,050.50","1,096.00","1,135.00","1,032.25",195.48K,-3.25%
10/09/2022,"1,085.75","1,263.50","1,309.50","1,075.50",154.41K,-13.68%
10/02/2022,"1,257.75","1,002.50","1,267.75","1,002.50",131.81K,26.63%
09/25/2022,993.25,961.50,"1,035.00",915.00,139.77K,3.14%
09/18/2022,963.00,944.50,"1,032.50",924.25,244.85K,1.05%
09/11/2022,953.00,"1,075.00","1,094.00",911.00,328.32K,-12.17%
09/04/2022,"1,085.00","1,104.00","1,152.00","1,061.75",104.12K,-0.57%
08/28/2022,"1,091.25","1,183.75","1,190.00","1,023.00",118.67K,-8.61%
08/21/2022,"1,194.00","1,097.25","1,207.00","1,069.25",163.82K,9.82%
08/14/2022,"1,087.25","1,039.75","1,100.50",998.75,221.99K,4.02%
08/07/2022,"1,045.25",960.50,"1,053.50",937.25,90.17K,5.58%
07/31/2022,990.00,"1,069.50","1,074.25",955.25,111.93K,-10.53%
07/24/2022,"1,106.50","1,027.00","1,132.75","1,005.75",113.22K,3.65%
07/17/2022,"1,067.50","1,110.50","1,120.00","1,014.75",198.06K,-4.04%
07/10/2022,"1,112.50","1,149.75","1,218.75","1,040.25",167.41K,-1.85%
07/03/2022,"1,133.50","1,226.00","1,244.25","1,041.50",96.85K,-7.58%
06/26/2022,"1,226.50","1,289.00","1,300.00","1,142.25",139.86K,-5.80%
06/19/2022,"1,302.00","1,292.25","1,340.00","1,248.00",136.83K,0.62%
06/12/2022,"1,294.00","1,275.50","1,351.25","1,234.00",213.98K,-6.87%
06/05/2022,"1,389.50","1,327.75","1,433.75","1,314.00",79.84K,5.38%
05/29/2022,"1,318.50","1,183.00","1,329.00","1,172.00",97.03K,12.81%
05/22/2022,"1,168.75","1,057.75","1,183.00","1,048.50",115.66K,9.43%
05/15/2022,"1,068.00","1,092.00","1,120.00",989.50,147.03K,-3.52%
05/08/2022,"1,107.00","1,146.25","1,172.50","1,056.75",97.16K,-2.81%
05/01/2022,"1,139.00","1,205.00","1,300.00","1,121.25",113.19K,-7.19%
04/24/2022,"1,227.25","1,107.25","1,249.75","1,058.00",125.02K,9.70%
04/17/2022,"1,118.75","1,159.50","1,188.50","1,092.00",130.12K,-0.09%
04/10/2022,"1,119.75","1,018.50","1,162.25",994.25,112.83K,10.27%
04/03/2022,"1,015.50","1,102.00","1,146.75",968.50,88.10K,-6.92%
03/27/2022,"1,091.00","1,195.00","1,195.00","1,000.00",115.37K,-8.76%
03/20/2022,"1,195.75","1,081.75","1,260.00","1,081.50",145.39K,12.30%
03/13/2022,"1,064.75","1,021.25","1,085.00",864.50,229.27K,5.21%
03/06/2022,"1,012.00","1,221.00","1,665.00",931.75,151.97K,-14.55%
02/27/2022,"1,184.25",860.00,"1,217.25",860.00,239.57K,41.57%
02/20/2022,836.50,821.00,902.50,806.00,318.43K,3.08%
02/13/2022,811.50,844.75,854.50,790.25,465.46K,-1.90%
02/06/2022,827.25,852.00,867.00,805.25,225.69K,-2.85%
01/30/2022,851.50,806.00,861.25,780.75,219.22K,6.17%
01/23/2022,802.00,768.00,809.25,747.00,281.34K,4.26%
01/16/2022,769.25,757.25,779.50,745.00,432.12K,2.67%
01/09/2022,749.25,709.75,757.00,708.00,280.55K,5.16%
01/02/2022,712.50,669.50,718.25,662.50,179.81K,6.82%
12/26/2021,667.00,653.00,688.25,652.00,119.31K,2.14%
12/19/2021,653.00,635.75,664.25,601.25,226.20K,1.79%
12/12/2021,641.50,652.25,658.00,632.50,344.13K,-1.80%
12/05/2021,653.25,616.50,657.75,613.50,148.93K,5.53%
11/28/2021,619.00,600.00,642.50,576.25,318.36K,2.44%
11/21/2021,604.25,658.00,695.00,596.25,359.58K,-8.10%
11/14/2021,657.50,695.75,707.00,654.00,579.98K,-5.87%
11/07/2021,698.50,717.00,748.50,691.50,302.55K,-3.09%
10/31/2021,720.75,721.00,731.25,696.50,231.49K,0.31%
10/24/2021,718.50,731.00,744.75,704.75,304.76K,-1.88%
10/17/2021,732.25,742.50,755.00,720.00,580.57K,-1.94%
10/10/2021,746.75,714.25,749.75,712.75,428.61K,4.19%
10/03/2021,716.75,683.00,727.75,677.00,319.82K,6.46%
09/26/2021,673.25,659.00,683.00,653.50,365.01K,2.75%
09/19/2021,655.25,633.75,659.00,616.50,442.60K,3.76%
09/12/2021,631.50,610.00,636.50,609.25,523.85K,4.29%
09/05/2021,605.50,611.50,611.75,591.00,214.67K,-1.26%
08/29/2021,613.25,601.50,619.00,590.00,255.13K,2.46%
08/22/2021,598.50,540.25,600.75,538.00,359.28K,9.57%
08/15/2021,546.25,574.75,579.00,537.25,388.58K,-6.22%
08/08/2021,582.50,578.00,587.25,555.00,224.96K,0.39%
08/01/2021,580.25,612.75,613.50,573.25,206.54K,-5.38%
07/25/2021,613.25,600.25,616.75,590.25,247.85K,2.38%
